Lemma,Case,Number,Gender,Degree,Upos,Inflection,Forms
Intelligenzquotient,Dat,Sing,Masc,,NOUN,,Intelligenzquotient:1 | Intelligenzquotienten:1
Interessiert,Acc,Plur,,,NOUN,,Interessierte:8 | Interessierten:2
Internet-Anschluß,Acc,Sing,Masc,,NOUN,,Internet-Anschluss:27 | Internet-Anschluß:5
Internet-Anschluß,Dat,Sing,Masc,,NOUN,,Internet-Anschluss:23 | Internet-Anschluß:1
Internet-Geschäft,Dat,Sing,Neut,,NOUN,,Internet-Geschäft:8 | Internet-Geschäfte:1
Internet-Nutzer,Dat,Plur,Masc,,NOUN,,Internet-Nutzern:34 | Internet-Nutzer:1
Internet-Provider,Dat,Plur,Masc,,NOUN,,Internet-Providern:75 | Internet-Provider:1
Internetanschluß,Dat,Sing,Masc,,NOUN,,Internetanschluss:9 | Internetanschluß:1
Internetanschluß,Acc,Sing,Masc,,NOUN,,Internetanschluss:10 | Internetanschluß:2
Internetprovider,Dat,Plur,Masc,,NOUN,,Internetprovidern:6 | Internetprovider:1
Irrweg,Dat,Plur,Masc,,NOUN,,Irrwege:1 | Irrwegen:1
Italienisch,Dat,Sing,Neut,,NOUN,,Italienisch:2 | Italienischen:1
Jahr,Dat,Plur,Neut,,NOUN,,Jahren:1957 | Jahre:2
Jahr,Acc,Sing,Neut,,NOUN,,Jahr:710 | Jahre:2
Jahr,Acc,Plur,Neut,,NOUN,,Jahre:443 | Jahren:1
Jahr,Dat,Sing,Neut,,NOUN,,Jahr:3151 | Jahre:221
Jahrestag,Dat,Sing,Masc,,NOUN,,Jahrestag:9 | Jahrestage:1
Jahresüberschuß,Acc,Sing,Masc,,NOUN,,Jahresüberschuss:3 | Jahresüberschuß:1
Jahrhundert,Dat,Plur,Neut,,NOUN,,Jahrhunderten:7 | Jahrhunderts:3
Jahrhundert,Acc,Plur,Neut,,NOUN,,Jahrhunderte:2 | Jahrhunderts:1
Johann,Dat,Sing,Masc,,PROPN,,Johann:10 | Johanns:1
Jugendlich,Acc,Plur,,,NOUN,,Jugendliche:20 | Jugendlichen:8
Jugendlicher,Acc,Plur,,,NOUN,,Jugendliche:3 | Jugendlichen:1
Justizausschuß,Dat,Sing,Masc,,NOUN,,Justizausschuss:2 | Justizausschuß:2
Kabel,Dat,Plur,Neut,,NOUN,,Kabeln:10 | Kabel:1
Kabelnetz,Dat,Sing,Neut,,NOUN,,Kabelnetz:37 | Kabelnetze:3
Kabelnetzbetreiber,Dat,Plur,Masc,,NOUN,,Kabelnetzbetreibern:8 | Kabelnetzbetreiber:1
Kabinettsbeschluß,Acc,Sing,Masc,,NOUN,,Kabinettsbeschluss:1 | Kabinettsbeschluß:1
Kampf,Dat,Sing,Masc,,NOUN,,Kampf:132 | Kapf:1
Kandidat,Acc,Sing,Masc,,NOUN,,Kandidaten:19 | Kandidat:1
Karl,Dat,Sing,Masc,,PROPN,,Karl:14 | Karls:1
Kartellprozess,Dat,Sing,Masc,,NOUN,,Kartellprozess:52 | Kartellprozeß:2
Kartellrechtsprozeß,Dat,Sing,Masc,,NOUN,,Kartellrechtsprozess:2 | Kartellrechtsprozeß:1
Kaufabschluß,Dat,Sing,Masc,,NOUN,,Kaufabschluss:1 | Kaufabschluß:1
Kennwort,Dat,Sing,Neut,,NOUN,,Kennwort:5 | Kennworte:3
Kilometer,Dat,Plur,Masc,,NOUN,,Kilometern:27 | Kilometer:6
Kind,Dat,Plur,Neut,,NOUN,,Kindern:167 | Kinder:6
Kind,Dat,Sing,Neut,,NOUN,,Kind:11 | Kindes:2
Kind,Dat,,,,NOUN,,Kinde:1 | Kindern:1
Kiosk,Acc,Plur,Masc,,NOUN,,Kiosk:1 | Kioske:1
Kommentar,Dat,Sing,Masc,,NOUN,,Kommentar:17 | Kommentare:1
Kommunikationsdienst,Dat,Plur,Masc,,NOUN,,Kommunikationsdiensten:8 | Kommunikationsdienste:1
Kommunikationsnetz,Dat,Sing,Neut,,NOUN,,Kommunikationsnetz:1 | Kommunikationsnetze:1
Kompromiß,Acc,Sing,Masc,,NOUN,,Kompromiss:16 | Kompromiß:6
Kompromiß,Dat,Sing,Masc,,NOUN,,Kompromiss:2 | Kompromiß:1
Kongreß,Dat,Sing,Masc,,NOUN,,Kongress:54 | Kongreß:9
Kongreß,Acc,Sing,Masc,,NOUN,,Kongress:16 | Kongreß:5
Konkurrent,Dat,Sing,Masc,,NOUN,,Konkurrenten:106 | Konkurrent:3
Kontakt,Acc,Sing,Masc,,NOUN,,Kontakt:80 | Kontakte:1
Konto,Dat,Sing,Neut,,NOUN,,Konto:14 | KOnten:1
Konzern,Dat,Sing,Masc,,NOUN,,Konzern:132 | Konzerne:1
Konzern,Dat,Plur,Masc,,NOUN,,Konzernen:28 | Konzerne:1
Konzert,Dat,Sing,Neut,,NOUN,,Konzert:10 | Konzerte:1
Kraft,Acc,,,,NOUN,,Kraft:10 | Kräfte:1
Krankheit,Acc,,,,NOUN,,Krankheit:2 | Krankheiten:1
Kreditausschuß,Dat,Sing,Masc,,NOUN,,Kreditausschuß:3 | Kreditausschuss:1
Kreditinstitut,Dat,Plur,Neut,,NOUN,,Kreditinstituten:6 | Kreditinstitute:1
Kreis,Dat,Sing,Masc,,NOUN,,Kreis:42 | Kreise:2
Krieg,Dat,Sing,Masc,,NOUN,,Krieg:46 | Kriege:1
Kriegsfall,Dat,Sing,Masc,,NOUN,,Kriegsfall:2 | Kriegsfalle:1
Kunst,Acc,,,,NOUN,,Kunst:8 | Künste:1
Kunststoff,Dat,Sing,Masc,,NOUN,,Kunststoff:5 | Kunststoffe:1
Kunstwerk,Dat,,,,NOUN,,Kunstwerke:1 | Kunstwerken:1
Kupferprozeß,Acc,Sing,Masc,,NOUN,,Kupferprozeß:2 | Kupferprozess:1
Kurfürst,Dat,Sing,Masc,,NOUN,,Kurfürst:1 | Kurfürsten:1
Kurs,Dat,Sing,Masc,,NOUN,,Kurs:56 | Kurse:1
Künstler,Dat,Plur,Masc,,NOUN,,Künstlern:49 | Künstler:2
LAN-Party,Dat,Plur,Fem,,NOUN,,LAN-Partys:4 | LAN-Parties:1
Label,Dat,Plur,Neut,,NOUN,,Labels:35 | Labeln:2
Label,Acc,Plur,Neut,,NOUN,,Labels:9 | Label:4
Ladenschluß,Dat,Sing,Masc,,NOUN,,Ladenschluss:1 | Ladenschluß:1
Land,Acc,Plur,Neut,,NOUN,,Länder:76 | Lande:1
Land,Dat,Sing,Neut,,NOUN,,Land:191 | Lande:117
Land,Dat,Plur,Neut,,NOUN,,Ländern:524 | Länder:9 | Landen:4
Lauf,Dat,Sing,Masc,,NOUN,,Laufe:206 | Lauf:24
Laufpaß,Acc,Sing,Masc,,NOUN,,Laufpass:1 | Laufpaß:1
Laufwerk,Dat,Sing,Neut,,NOUN,,Laufwerk:9 | Laufwerke:1
Lautsprecher,Dat,Plur,Masc,,NOUN,,Lautsprechern:8 | Lautsprecher:1
Leib,Dat,Sing,Masc,,NOUN,,Leib:5 | Leibe:5
Leut,Dat,Plur,Masc,,NOUN,,Leuten:50 | Leute:1
Licht,Dat,Sing,Neut,,NOUN,,Licht:25 | Lichte:1
Lieferant,Dat,Sing,Masc,,NOUN,,Lieferanten:11 | Lieferant:1
Linux-Kongreß,Dat,Sing,Masc,,NOUN,,Linux-Kongress:1 | Linux-Kongreß:1
Live,Dat,Sing,Fem,,NOUN,,LIVE:1 | Live:1
Lunge,Dat,Sing,Fem,,NOUN,,Lunge:2 | Lungen:1
Magazin,Dat,Sing,Neut,,NOUN,,Magazin:36 | Magazine:1
Mal,Acc,Plur,Neut,,NOUN,,Male:9 | Mal:8
Mal,Dat,Sing,Neut,,NOUN,,Mal:235 | Male:8
Manier,Dat,,,,NOUN,,Manier:2 | Manieren:1
Mann,Acc,Plur,Masc,,NOUN,,Männer:21 | Mann:4 | Mannen:1
Mann,Dat,Plur,Masc,,NOUN,,Männern:33 | Mannen:3
Mann,Dat,Sing,Masc,,NOUN,,Mann:24 | Manne:2
Mann,Acc,,,,NOUN,,Mann:2 | Männer:1
Markt,Dat,Sing,Masc,,NOUN,,Markt:1002 | Markte:1
Markt,Dat,Sing,Masc,,PROPN,,Markt:3 | ProMarkt:1
Marktbeobachter,Dat,Plur,Masc,,NOUN,,Marktbeobachtern:11 | Marktbeobachter:1
Masse,Dat,Plur,Fem,,NOUN,,Massen:2 | Maßen:1
Masse,Acc,Sing,Fem,,NOUN,,Masse:12 | Maße:2
Masse,Acc,Plur,Fem,,NOUN,,Massen:6 | Maßen:1
Masse,Acc,,,,NOUN,,Masse:1 | Massen:1
Massiv,Dat,Sing,Neut,,NOUN,,Massiv:1 | Massive:1
Mathematiker,Dat,Plur,Masc,,NOUN,,Mathematikern:2 | Mathematiker:1
Maß,Dat,Sing,Neut,,NOUN,,Maße:38 | Maß:7 | Masse:3
Maß,Dat,Plur,,,NOUN,,Massen:2 | Maßen:1
Mediendienst,Dat,Sing,Masc,,NOUN,,Mediendienste:2 | Mediendienst:1
Medikament,Dat,Sing,Neut,,NOUN,,Medikament:1 | Medikamente:1
Megabyte,Dat,Plur,Neut,,NOUN,,Megabyte:6 | Megabytes:1
Megapixel,Dat,Plur,Masc,,NOUN,,Megapixeln:2 | Megapixel:1
Mensch,Acc,Sing,Masc,,NOUN,,Menschen:23 | Mensch:3
Mensch,Dat,Sing,Masc,,NOUN,,Menschen:44 | Mensch:13
Mensch,Acc,,,,NOUN,,Menschen:15 | Mensch:1
Mensch,Dat,,,,NOUN,,Menschen:6 | Mensch:1
Menschenrecht,Dat,Sing,Neut,,NOUN,,Menschenrecht:1 | Menschenrechte:1
Messeschluss,Dat,Sing,Masc,,NOUN,,Messeschluss:4 | Messeschluß:2
Meter,Dat,Plur,Masc,,NOUN,,Metern:69 | Meter:10
Microsoft-Prozeß,Dat,Sing,Masc,,NOUN,,Microsoft-Prozess:34 | Microsoft-Prozeß:5
Mikrometer,Dat,Plur,Masc,,NOUN,,Mikrometern:7 | Mikrometer:1
Milliardenverlust,Dat,Sing,Masc,,NOUN,,Milliardenverlust:1 | Milliardenverluste:1
Millimeter,Dat,Plur,Masc,,NOUN,,Millimetern:11 | Millimeter:2
Mindpixel,Dat,Plur,,,NOUN,,Mindpixel:1 | Mindpixeln:1
Ministerpräsident,Acc,Sing,Masc,,NOUN,,Ministerpräsidenten:4 | Ministerpräsident:1
Ministerpräsident,Dat,Sing,Masc,,NOUN,,Ministerpräsident:10 | Ministerpräsidenten:10
Minute,Acc,Sing,Fem,,NOUN,,Minute:23 | Minuten:1
Misserfolg,Dat,Sing,Masc,,NOUN,,Misserfolg:2 | Misserfolge:1
Mitarbeiter,Dat,Plur,Masc,,NOUN,,Mitarbeitern:309 | Mitarbeiter:3
Mitglied,Dat,Plur,Neut,,NOUN,,Mitgliedern:110 | Mitglieder:3
Mittag,Dat,Sing,Masc,,NOUN,,Mittag:16 | Mittwochmittag:1
Mißbrauch,Dat,Sing,Masc,,NOUN,,Mißbrauch:7 | Missbrauch:1
Mobilfunknetz,Dat,Sing,Neut,,NOUN,,Mobilfunknetz:15 | Mobilfunknetze:1
Mobiltelefon,Dat,Sing,Neut,,NOUN,,Mobiltelefon:32 | Mobiltelefone:10
Modell,Dat,Sing,Neut,,NOUN,,Modell:65 | Modelle:1
Modul,Dat,Sing,Neut,,NOUN,,Modul:16 | Module:1
Monat,Dat,Plur,Masc,,NOUN,,Monaten:930 | Monate:2
Monat,Dat,Sing,Masc,,NOUN,,Monat:507 | Monate:2
Motor,Dat,Sing,,,PROPN,,Motor:3 | Motors:1
Mund,Dat,Sing,Masc,,NOUN,,Mund:7 | Munde:6
Musiktitel,Dat,Plur,Neut,,NOUN,,Musiktiteln:3 | Musiktitel:1
Muster,Dat,Plur,Neut,,NOUN,,Mustern:10 | Muster:1
Musterbeispiel,Dat,Sing,Neut,,NOUN,,Musterbeispiel:1 | Musterbeispiele:1
Mut,Dat,Sing,Masc,,NOUN,,Mut:4 | Mute:1
Mutter,Dat,Plur,Fem,,NOUN,,Müttern:2 | Mutter:1
Mühe,Acc,Plur,Fem,,NOUN,,Mühen:2 | Mühe:1
Nachlaß,Dat,Sing,Masc,,NOUN,,Nachlaß:2 | Nachlass:1
Nacht,Dat,Plur,Fem,,NOUN,,Nächten:5 | Nacht:1
Nanometer,Dat,Plur,Masc,,NOUN,,Nanometern:15 | Nanometer:5
Nation,Acc,,,,NOUN,,Nationen:2 | Nation:1
Netz,Dat,Sing,Neut,,NOUN,,Netz:761 | Netze:2
Netz,Dat,Plur,Neut,,NOUN,,Netzen:103 | Netze:1
Netzwerk,Dat,Sing,Neut,,NOUN,,Netzwerk:64 | Netzwerke:1
Netzwerk,Dat,Plur,Neut,,NOUN,,Netzwerken:50 | Netzwerke:1
Netzwerkanschluß,Acc,Sing,Masc,,NOUN,,Netzwerkanschluss:3 | Netzwerkanschluß:1
Netzwerker,Dat,Plur,Masc,,NOUN,,Netzwerkern:2 | Netzwerker:1
Netzwerkspezialist,Dat,Sing,Masc,,NOUN,,Netzwerkspezialist:1 | Netzwerkspezialisten:1
Neu,Acc,Sing,Neut,,NOUN,,Neues:3 | Neue:2
Neujahrstag,Dat,Sing,Masc,,NOUN,,Neujahrstag:3 | Neujahrstage:1
Newsletter,Dat,Plur,Masc,,NOUN,,Newslettern:1 | Newsletters:1
Norden,Dat,Sing,Masc,,NOUN,,Norden:57 | Nord:2
Nummer,Dat,Sing,Fem,,NOUN,,Nummer:67 | Nr.:8
Nummer,Acc,Sing,Fem,,NOUN,,Nummer:45 | Nr.:1
Office-Paket,Dat,Sing,Neut,,NOUN,,Office-Paket:17 | Office-Pakete:2
Online-Dienst,Dat,Sing,Masc,,NOUN,,Online-Dienst:69 | Online-Dienste:6
Online-Spiel,Dat,Sing,Neut,,NOUN,,Online-Spiel:2 | Online-Spiele:1
Online-Verkauf,Dat,Plur,Masc,,NOUN,,Online-Verkäufe:1 | Online-Verkäufen:1
Organ,Dat,Sing,Neut,,NOUN,,Organ:3 | Organe:1
Organ,Acc,,,,NOUN,,Organ:1 | Organe:1
Organizer,Dat,Plur,Masc,,NOUN,,Organizern:16 | Organizer:1
Ort,Dat,Sing,Masc,,NOUN,,Ort:150 | Orte:1
PC,Dat,Plur,Masc,,NOUN,,PCs:184 | PC:52
PC,Acc,Plur,Masc,,NOUN,,PCs:116 | PC:16
Paragraf,Acc,Sing,Masc,,NOUN,,Paragraf:8 | Paragrafen:2
Paragraph,Dat,Sing,Masc,,NOUN,,Paragraph:9 | Paragraphen:1
Paragraph,Acc,Sing,Masc,,NOUN,,Paragraph:2 | Paragraphen:1
Parlamentarier,Dat,Plur,Masc,,NOUN,,Parlamentariern:3 | Parlamentarier:1
Partner,Dat,Plur,Masc,,NOUN,,Partnern:123 | Partner:2
Passwort,Dat,Plur,Neut,,NOUN,,Passwörtern:8 | Passwörter:2
Passwort,Acc,Plur,Neut,,NOUN,,Passwörter:7 | Passworte:1
Patent,Dat,Sing,Neut,,NOUN,,Patent:25 | Patente:2
Patient,Dat,Sing,Masc,,NOUN,,Patienten:8 | Patient:3
Patient,Acc,Sing,Masc,,NOUN,,Patienten:6 | Patient:2
Paß,Acc,Sing,Masc,,NOUN,,Pass:1 | Paß:1
Paßwort,Acc,Sing,Neut,,NOUN,,Paßwort:3 | Passwort:1
Pfennig,Acc,Plur,Masc,,NOUN,,Pfennig:90 | Pfennige:18
Pfennig,Dat,Plur,Masc,,NOUN,,Pfennig:136 | Pfennigen:40 | Pfennige:1
Pfennig,Dat,Sing,Masc,,NOUN,,Pfennig:6 | Pfennige:1
Philosophie,Acc,,,,NOUN,,Philosophie:16 | Philosophien:1
Pilot,Dat,Sing,Masc,,NOUN,,Pilot:2 | Piloten:2
Pinguin,Dat,Plur,Masc,,NOUN,,Pinguinen:3 | Pinguine:1
Pixel,Dat,Plur,Masc,,NOUN,,Pixeln:16 | Pixel:7
Pixel,Dat,Plur,,,NOUN,,Pixeln:31 | Pixel:18
Plan,Dat,Plur,Masc,,NOUN,,Plänen:126 | Pläne:1
Planet,Dat,Sing,Masc,,NOUN,,Planeten:10 | Planet:3
Planet,Acc,Sing,Masc,,NOUN,,Planeten:8 | Planet:2
Platz,Dat,Sing,Masc,,NOUN,,Platz:156 | Platze:2
Platzhirsch,Dat,Sing,Masc,,NOUN,,Platzhirsch:1 | Platzhirsche:1 | Platzhirschen:1
Plazierung,Acc,Sing,Fem,,NOUN,,Platzierung:6 | Plazierung:2
Pocket-PC,Dat,Plur,Masc,,NOUN,,Pocket-PC:1 | Pocket-PCs:1
Praktikum,Acc,Sing,Neut,,NOUN,,Praktikum:5 | Praktika:1
Praktikum,Acc,Plur,Neut,,NOUN,,Praktiken:10 | Praktika:2
Praktikum,Dat,Plur,Neut,,NOUN,,Praktiken:11 | Praktika:4
Preis,Dat,Sing,Masc,,NOUN,,Preis:377 | Preise:11
Preis,Dat,Plur,Masc,,NOUN,,Preisen:171 | Preis:1
Preisnachlaß,Acc,Sing,Masc,,NOUN,,Preisnachlass:9 | Preisnachlaß:1
Preisnachlaß,Dat,Plur,Masc,,NOUN,,Preisnachlässen:7 | Preisnachlässe:1
Preisvergleich,Dat,Sing,Masc,,NOUN,,Preisvergleich:1 | Preisvergleiche:1
Prinzip,Acc,,,,NOUN,,Prinzip:1 | Prinzipien:1
Privat,Acc,Plur,,,NOUN,,Privaten:2 | Private:1
Privatanschluß,Acc,Sing,Masc,,NOUN,,Privatanschluss:1 | Privatanschluß:1
Problem,Dat,Sing,Neut,,NOUN,,Problem:58 | Probleme:9
Produkt,Dat,Plur,Neut,,NOUN,,Produkten:189 | Produkte:2
Produkt,Dat,Sing,Neut,,NOUN,,Produkt:44 | Produkte:5
Produkt,Acc,,,,NOUN,,Produkt:2 | Produkte:2
Produzent,Dat,Sing,Masc,,NOUN,,Produzenten:7 | Produzent:1
Professor,Acc,Sing,Masc,,NOUN,,Professor:5 | Prof.:2
Professor,Dat,Sing,Masc,,NOUN,,Professor:14 | Prof.:8
Profi,Dat,Plur,Masc,,NOUN,,Profis:5 | Profi:1
Profil,Dat,Sing,Neut,,NOUN,,Profil:1 | Profile:1
Programm,Dat,Sing,Neut,,NOUN,,Programm:163 | Programme:4
Projekt,Dat,Plur,Neut,,NOUN,,Projekten:34 | Projekte:1
Protein,Dat,Sing,Neut,,NOUN,,Protein:2 | Proteine:1
Protokoll,Dat,Sing,Neut,,NOUN,,Protokoll:9 | Protokolle:2
Prototyp,Acc,Sing,Masc,,NOUN,,Prototypen:48 | Prototyp:21
Prototyp,Dat,Sing,Masc,,NOUN,,Prototypen:3 | Prototyp:2
Prozedere,Acc,Sing,Neut,,NOUN,,Procedere:4 | Prozedere:2
Prozent,Dat,Plur,Neut,,NOUN,,Prozent:1952 | Prozenten:1
Prozent,Dat,Sing,Neut,,NOUN,,Prozent:23 | Prozente:1
Prozeß,Acc,Sing,Masc,,NOUN,,Prozess:53 | Prozeß:14 | Produktionsprozess:1
Prozeß,Dat,Sing,Masc,,NOUN,,Prozess:99 | Prozeß:20 | Produktionsprozess:1 | Prozesse:1
Prozeß,Acc,Plur,Masc,,NOUN,,Prozesse:15 | Produktionsprozesse:1
Prozeß,Dat,Plur,Masc,,NOUN,,Prozessen:21 | Prozess:1
Präsident,Acc,Sing,Masc,,NOUN,,Präsidenten:25 | Präsident:2
Präsident,Dat,Sing,Masc,,NOUN,,Präsidenten:34 | Präsident:16
Präsidentschaftskandidat,Acc,Sing,Masc,,NOUN,,Präsidentschaftskandidaten:2 | Präsidentschaftskandidat:1
Prätension,Acc,,,,NOUN,,Prätension:1 | Prätensionen:1
Punkt,Acc,,,,NOUN,,Punkt:1 | Punkte:1
Quadratmeter,Dat,Plur,Masc,,NOUN,,Quadratmetern:21 | Quadratmeter:2
Quadratmillimeter,Dat,Plur,Masc,,NOUN,,Quadratmillimeter:1 | Quadratmillimetern:1
Quartalsabschluß,Acc,Sing,Masc,,NOUN,,Quartalsabschluss:3 | Quartalsabschluß:3
Quartalsabschluß,Dat,Sing,Masc,,NOUN,,Quartalsabschluss:4 | Quartalsabschluß:1
Quartalsergebnis,Dat,Sing,Neut,,NOUN,,Quartalsergebnis:5 | Quartalsergebnisse:1
Rabatt,Dat,Sing,Masc,,NOUN,,Rabatt:2 | Rabatte:1
Rad,Dat,Plur,Neut,,NOUN,,Rädern:10 | Rad:1
Rand,Dat,Sing,Masc,,NOUN,,Rande:91 | Rand:10
Rang,Dat,Sing,Masc,,NOUN,,Rang:29 | Range:1
Rat,Dat,Sing,Masc,,NOUN,,Rat:28 | Rate:2
Rausschmiß,Dat,Sing,Masc,,NOUN,,Rausschmiß:2 | Rausschmiss:1
Rausschmiß,Acc,Sing,Masc,,NOUN,,Rausschmiss:3 | Rausschmiß:1
Rebell,Dat,Sing,Masc,,NOUN,,Rebell:1 | Rebellen:1
Rechner,Dat,Plur,Masc,,NOUN,,Rechnern:156 | Rechner:1 | RECHNERN:1
Recht,Acc,Plur,,,NOUN,,Rechte:1 | Rechten:1
Recht,Acc,,,,NOUN,,Recht:5 | Rechte:2
Recht,Dat,,,,NOUN,,Recht:2 | Rechte:1 | Rechten:1
Rechtsausschuß,Dat,Sing,Masc,,NOUN,,Rechtsausschuss:4 | Rechtsausschuß:1
Rechtsausschuß,Acc,Sing,Masc,,NOUN,,Rechtsausschuss:1 | Rechtsausschuß:1
Rechtsradikal,Acc,Plur,,,NOUN,,Rechtsradikale:8 | Rechtsradikalen:1
Record,Dat,Sing,Masc,,PROPN,,Record:1 | Records:1
Rede,Dat,Sing,Fem,,NOUN,,Rede:58 | REDE:1
Reflexion,Dat,,,,NOUN,,Reflexion:1 | Reflexionen:1
Regierungsmitglied,Dat,Plur,Neut,,NOUN,,Regierungsmitgliedern:3 | Regierungsmitglieder:1
Regiment,Acc,Plur,Neut,,NOUN,,Regimenter:1 | Regiments:1
Registrar,Dat,Sing,Masc,,NOUN,,Registrar:1 | Registrare:1
Reich,Acc,Sing,Neut,,PROPN,,Reich:2 | Reiches:1
Reich,Dat,,,,NOUN,,Reich:1 | Reiche:1
Reihe,Dat,Sing,Fem,,NOUN,,Reihe:69 | Reih:1
Rezept,Dat,Sing,Neut,,NOUN,,Rezept:3 | Rezepte:2
Richtung,Dat,,,,NOUN,,Richtung:2 | Richtungen:2
Robert,Dat,Sing,Masc,,PROPN,,Robert:7 | Roberts:1
Rock,Dat,Sing,Masc,,NOUN,,Rock:4 | Rocke:1
Rohstoff,Dat,Sing,Masc,,NOUN,,Rohstoff:1 | Rohstoffe:1
Roman,Acc,,,,NOUN,,Roman:4 | Romane:4
Rußland,Dat,Sing,Neut,,PROPN,,Russland:14 | Rußland:2
Rußland,Acc,Sing,Neut,,PROPN,,Russland:2 | Rußland:1
Sache,Acc,Plur,Fem,,NOUN,,Sachen:23 | Sache:1
Sand,Dat,Sing,Masc,,NOUN,,Sand:6 | Sande:3
Satellit,Acc,Sing,Masc,,NOUN,,Satelliten:15 | Satellit:11
Satellit,Dat,Sing,Masc,,NOUN,,Satelliten:16 | Satellit:3
Satellitenverkehr,Dat,Sing,Masc,,NOUN,,Satellitenverkehr:2 | Satellitenverkehre:1
Satz,Acc,Sing,Masc,,NOUN,,Satz:26 | Samurai-Chipssatz:1
Satz,Acc,,,,NOUN,,Satz:1 | Sätze:1
Schaltkreis,Dat,Sing,Masc,,NOUN,,Schaltkreis:1 | Schaltkreise:1
Schatz,Acc,,,,NOUN,,Schatz:1 | Schätze:1
Schiff,Dat,Sing,Neut,,NOUN,,Schiff:4 | Schiffen:1
Schiff,Acc,Sing,Neut,,NOUN,,Schiff:7 | Schlachtschiff:1
Schild,Dat,Sing,Neut,,NOUN,,Schild:3 | Schutzschild:1
Schilling,Dat,Plur,Masc,,NOUN,,Schilling:7 | Schillingen:1
Schimpferei,Dat,Plur,Fem,,NOUN,,Schimpereien:1 | Schimpfereien:1
Schlag,Dat,Sing,Masc,,NOUN,,Schlag:12 | Schlage:5
Schluss,Dat,Sing,Masc,,NOUN,,Schluss:50 | Schluß:13
Schluss,Acc,Sing,Masc,,NOUN,,Schluss:3 | Schluß:3
Schluß,Dat,Sing,Masc,,NOUN,,Schluss:8 | Schluß:1
Schluß,Acc,Sing,Masc,,NOUN,,Schluss:1 | Schluß:1
Schlüsselbegriff,Dat,Sing,Masc,,NOUN,,Schlüsselbegriff:1 | Schlüsselbegriffe:1
Schlüsselwort,Dat,Sing,Neut,,NOUN,,Schlüsselwort:1 | Schlüsselworte:1
Schulbuch,Dat,Plur,Neut,,NOUN,,Schulbüchern:2 | Schulbücher:1
Schulkind,Dat,Plur,Neut,,NOUN,,Schulkindern:5 | Schulkinder:1
Schulterschluss,Acc,Sing,Masc,,NOUN,,Schulterschluss:2 | Schulterschluß:1
Schutz,Acc,Sing,Masc,,NOUN,,Schutz:149 | Schreibschutz:1
Schutz,Dat,Sing,Masc,,NOUN,,Schutz:156 | Schutze:2 | Schreibschutz:1
Schuß,Dat,Plur,Masc,,NOUN,,Schüssen:3 | Schnellschüssen:2
Schuß,Dat,Sing,Masc,,NOUN,,Schuss:4 | Schnellschuss:2 | Schnellschuß:1
Schuß,Acc,Sing,Masc,,NOUN,,Schnappschuss:1 | Schnellschuss:1
Schwarz,Acc,Sing,Neut,,NOUN,,Schwarze:2 | Schwarz:1
Schwarze,Acc,Plur,,,NOUN,,Schwarze:1 | Schwarzen:1
Schwerpunkt,Dat,Sing,Masc,,NOUN,,Schwerpunkt:19 | Schwerpunkte:1
Schädling,Dat,Plur,Masc,,NOUN,,Schädlinge:1 | Schädlingen:1
Sein,Dat,Sing,Neut,,NOUN,,Sein:4 | Selbstbewusstsein:1
Seite,Dat,,,,NOUN,,Seiten:3 | Seite:1
Seitenaufruf,Dat,Plur,Masc,,NOUN,,Seitenaufrufen:4 | Seitenaufrufe:1
Selbständigkeit,Acc,Sing,Fem,,NOUN,,Selbständigkeit:2 | Selbstständigkeit:1
Senat,Dat,Sing,Masc,,NOUN,,Senat:13 | Senates:1
Senatsauschuß,Dat,Sing,Masc,,NOUN,,Senatsauschuss:1 | Senatsauschuß:1
Server,Dat,Plur,Masc,,NOUN,,Servern:194 | Server:1
Service,Dat,Sing,Masc,,NOUN,,Service:44 | Services:1
Sichtkontakt,Dat,Sing,Masc,,NOUN,,Sichtkontakt:1 | Sichtkontakte:1
Sinn,Dat,Sing,Masc,,NOUN,,Sinne:129 | Sinn:35
Sinn,Acc,,,,NOUN,,Sinn:24 | Sinns:1
Sinn,Dat,,,,NOUN,,Sinn:13 | Sinne:4
Skandal,Dat,Sing,Masc,,NOUN,,Skandal:6 | Skandale:1
Sockel,Dat,Plur,Masc,,NOUN,,Sockel:1 | Sockeln:1
Soldat,Acc,Plur,Masc,,NOUN,,Soldaten:9 | Soldante:1
Sonderangebot,Dat,Sing,Neut,,NOUN,,Sonderangebot:5 | Sonderangebote:1
Sonntag,Dat,Sing,Masc,,NOUN,,Sonntag:212 | SONNTAG:1
Spam,Acc,Sing,Neut,,NOUN,,Spam:8 | SPAM:2
Spaß,Acc,Sing,Masc,,NOUN,,Spaß:17 | Spass:6 | Spielspaß:1
Spezialist,Acc,Sing,Masc,,NOUN,,Spezialisten:15 | Spezialist:1
Spiegel,Dat,Sing,Masc,,NOUN,,Spiegel:41 | SPIEGEL:3
Spiel,Dat,Sing,Neut,,NOUN,,Spiel:63 | Spiele:4
Spielfilm,Dat,Sing,Masc,,NOUN,,Spielfilme:2 | Spielfilm:1
Spitzengespräch,Dat,Sing,Neut,,NOUN,,Spitzengespräch:3 | Spitzengespräche:1
Spot,Dat,Sing,Masc,,NOUN,,Spot:3 | Spots:1
Spur,Acc,,,,NOUN,,Spur:1 | Spuren:1
