Lemma,Case,Number,Gender,Degree,Upos,Inflection,Forms
Aufenthaltsgenehmigung,Dat,Sing,Fem,,NOUN,,Aufenthaltsgenehmigung:1
Aufenthaltsort,Acc,Sing,Masc,,NOUN,,Aufenthaltsort:4
Aufenthaltsort,Dat,Sing,Masc,,NOUN,,Aufenthaltsort:5
Aufenthaltsort,Dat,Plur,,,NOUN,,Aufenthaltsorten:1
Aufenthaltsort,Acc,Plur,,,NOUN,,Aufenthaltsorte:1
Aufenthaltsraum,Dat,Sing,Masc,,NOUN,,Aufenthaltsraum:1
Aufenthaltsrecht,Acc,Sing,Neut,,NOUN,,Aufenthaltsrecht:1
Aufenthatltsort,Acc,Sing,Masc,,NOUN,,Aufenthatltsort:1
Auferstehung,Acc,Sing,Fem,,NOUN,,Auferstehung:1
Auffahrt,Dat,Sing,Fem,,NOUN,,Auffahrt:1
Auffanggesellschaft,Acc,Sing,Fem,,NOUN,,Auffanggesellschaft:1
Auffangkonzept,Acc,Sing,Neut,,NOUN,,Auffangkonzept:1
Auffassung,Dat,Plur,,,NOUN,,Auffassungen:3
Auffassung,Acc,Sing,Fem,,NOUN,,Auffassung:13
Auffassung,Dat,Sing,Fem,,NOUN,,Auffassung:83
Auffassung,Acc,Plur,,,NOUN,,Auffassungen:1
Auffinden,Dat,Sing,Neut,,NOUN,,Auffinden:4
Auffinden,Acc,Sing,Neut,,NOUN,,Auffinden:10
Auffindung,Dat,Sing,Fem,,PROPN,,Auffindung:1
Auffindung,Dat,Sing,Fem,,NOUN,,Auffindung:1
Aufforderung,Dat,Sing,Fem,,NOUN,,Aufforderung:22
Aufforderung,Acc,Sing,Fem,,NOUN,,Aufforderung:15
Aufforderung,Dat,Plur,,,NOUN,,Aufforderungen:1
Auffrischung,Dat,Sing,Fem,,NOUN,,Auffrischung:1
Aufführung,Dat,Sing,Fem,,NOUN,,Aufführung:3
Aufführung,Acc,Sing,Fem,,NOUN,,Aufführung:4
Aufführung,Dat,Plur,,,NOUN,,Aufführungen:1
Aufführungspraxen,Dat,Sing,Fem,,NOUN,,Aufführungspraxis:1
Aufführungsstätte,Acc,Sing,Fem,,NOUN,,Aufführungsstätte:1
Auffüllen,Acc,Sing,Neut,,NOUN,,Auffüllen:1
Aufgabe,Acc,Plur,,,NOUN,,Aufgaben:32
Aufgabe,Acc,Sing,Fem,,NOUN,,Aufgabe:52
Aufgabe,Dat,Plur,,,NOUN,,Aufgaben:43
Aufgabe,Dat,Sing,Fem,,NOUN,,Aufgabe:25
Aufgabenbereich,Acc,Sing,Masc,,NOUN,,Aufgabenbereich:3
Aufgabenbereich,Dat,Plur,,,NOUN,,Aufgabenbereichen:2
Aufgabenerstellung,Acc,Sing,Fem,,NOUN,,Aufgabenerstellung:1
Aufgabenerstellungsausschuß,Dat,Sing,Masc,,NOUN,,Aufgabenerstellungsausschuss:1
Aufgabenfeld,Acc,Sing,Neut,,NOUN,,Aufgabenfeld:1
Aufgabengebiet,Dat,Plur,,,NOUN,,Aufgabengebieten:1
Aufgabengebiet,Acc,Sing,Neut,,NOUN,,Aufgabengebiet:1
Aufgabengebiet,Dat,Sing,Neut,,NOUN,,Aufgabengebiet:1
Aufgabengebieten,Dat,Sing,Neut,,NOUN,,Aufgabengebieten:1
Aufgabenliste,Dat,Sing,Fem,,NOUN,,Aufgabenliste:2
Aufgabenliste,Acc,Plur,,,NOUN,,Aufgabenlisten:1
Aufgabenliste,Acc,Sing,Fem,,NOUN,,Aufgabenliste:1
Aufgabenstellung,Dat,Sing,Fem,,NOUN,,Aufgabenstellung:3
Aufgabenstellung,Dat,Plur,,,NOUN,,Aufgabenstellungen:1
Aufgabenstellung,Acc,Sing,Fem,,NOUN,,Aufgabenstellung:1
Aufgabenverteilung,Dat,Sing,Fem,,NOUN,,Aufgabenverteilung:2
Aufgabenverwaltung,Acc,Sing,Fem,,NOUN,,Aufgabenverwaltung:1
Aufgeben,Dat,Sing,Neut,,NOUN,,Aufgeben:3
Aufgeben,Acc,Sing,Neut,,NOUN,,Aufgeben:1
Aufgebot,Dat,Sing,Neut,,NOUN,,Aufgebot:5
Aufgehen,Acc,Sing,Neut,,NOUN,,Aufgehen:1
Aufgeregtheit,Acc,Sing,Fem,,NOUN,,Aufgeregtheit:4
Aufgeschlossenheit,Dat,Sing,Fem,,NOUN,,Aufgeschlossenheit:1
Aufhebens,Acc,Sing,Neut,,NOUN,,Aufhebens:1
Aufhebung,Acc,Sing,Fem,,NOUN,,Aufhebung:10
Aufhebung,Dat,Sing,Fem,,NOUN,,Aufhebung:4
Aufhebungsvertrag,Acc,Plur,,,NOUN,,Aufhebungsverträge:1
Aufheizen,Acc,Sing,Masc,,NOUN,,Aufheizen:1
Aufhellung,Dat,Sing,Fem,,NOUN,,Aufhellung:1
Aufholbedarf,Acc,Sing,Masc,,NOUN,,Aufholbedarf:1
Aufholjagd,Acc,Sing,Fem,,NOUN,,Aufholjagd:1
Aufholjagd,Dat,Sing,Fem,,NOUN,,Aufholjagd:2
Aufholprozeß,Dat,Sing,Masc,,NOUN,,Aufholprozess:1
Aufkauf,Acc,Sing,Masc,,NOUN,,Aufkauf:17
Aufkauf,Dat,Sing,Masc,,NOUN,,Aufkauf:23
Aufkauf,Dat,Plur,,,NOUN,,Aufkäufen:3
Aufkauf,Acc,Plur,,,NOUN,,Aufkäufe:9
Aufklappen,Dat,Sing,Neut,,NOUN,,Aufklappen:1
Aufklappen,Acc,Sing,Neut,,NOUN,,Aufklappen:1
Aufkleber,Acc,Sing,Masc,,NOUN,,Aufkleber:1
Aufkleber,Dat,Sing,Masc,,NOUN,,Aufkleber:6
Aufklärung,Dat,Sing,Fem,,NOUN,,Aufklärung:14
Aufklärung,Acc,Sing,Fem,,NOUN,,Aufklärung:17
Aufklärungarbeit,Dat,Sing,Fem,,NOUN,,Aufklärungarbeit:1
Aufklärungsbehörde,Dat,Plur,,,NOUN,,Aufklärungsbehörden:1
Aufklärungsbemühung,Dat,Plur,,,NOUN,,Aufklärungsbemühungen:1
Aufklärungsdienst,Dat,Plur,,,NOUN,,Aufklärungsdiensten:1
Aufklärungserfolg,Acc,Plur,,,NOUN,,Aufklärungserfolge:1
Aufklärungsergebnis,Acc,Plur,,,NOUN,,Aufklärungsergebnisse:1
Aufklärungsflugzeug,Acc,Plur,,,NOUN,,Aufklärungsflugzeuge:1
Aufklärungsflugzeug,Dat,Sing,Neut,,NOUN,,Aufklärungsflugzeug:1
Aufklärungskampagne,Dat,Sing,Fem,,NOUN,,Aufklärungskampagne:2
Aufklärungskampagne,Acc,Sing,Fem,,NOUN,,Aufklärungskampagne:2
Aufklärungsmaterial,Acc,Sing,Neut,,NOUN,,Aufklärungsmaterial:1
Aufklärungsprogramm,Dat,Plur,,,NOUN,,Aufklärungsprogrammen:2
Aufklärungsprojekt,Dat,Plur,,,NOUN,,Aufklärungsprojekten:1
Aufklärungssatellit,Acc,Sing,Masc,,NOUN,,Aufklärungssatelliten:1
Aufklärungssatellit,Acc,Plur,,,NOUN,,Aufklärungssatelliten:1
Aufklärungssatellit,Dat,Plur,,,NOUN,,Aufklärungssatelliten:1
Aufklärungsschreiben,Dat,Sing,Neut,,NOUN,,Aufklärungsschreiben:1
Aufklärungssite,Acc,Sing,Fem,,NOUN,,Aufklärungssite:1
Aufklärungswillen,Dat,Sing,Masc,,NOUN,,Aufklärungswillen:1
Aufkochen,Dat,Sing,Neut,,NOUN,,Aufkochen:1
Aufkommen,Dat,Sing,Neut,,NOUN,,Aufkommen:10
Aufkommen,Acc,Sing,Neut,,NOUN,,Aufkommen:2
Aufkäufer,Dat,Plur,,,NOUN,,Aufkäufern:1
Aufkäufer,Acc,Plur,,,NOUN,,Aufkäufer:1
Aufkündigung,Acc,Sing,Fem,,NOUN,,Aufkündigung:1
Aufladen,Dat,Sing,Neut,,NOUN,,Aufladen:3
Aufladen,Acc,Sing,Neut,,NOUN,,Aufladen:3
Aufladung,Dat,Sing,Fem,,NOUN,,Aufladung:2
Auflage,Dat,Plur,,,NOUN,,Auflagen:39
Auflage,Acc,Sing,Fem,,NOUN,,Auflage:16
Auflage,Dat,Sing,Fem,,NOUN,,Auflage:25
Auflage,Acc,Plur,,,NOUN,,Auflagen:30
Auflagenhöhe,Acc,Sing,Fem,,NOUN,,Auflagenhöhe:1
Auflagensteigerung,Dat,Sing,Fem,,NOUN,,Auflagensteigerung:1
Auflagenverlust,Dat,Sing,Masc,,NOUN,,Auflagenverlust:1
Auflageverlust,Dat,Plur,,,NOUN,,Auflageverlusten:1
Auflegebefehl,Dat,Sing,Masc,,NOUN,,Auflegebefehl:1
Auflegebefehl,Acc,Sing,Masc,,NOUN,,Auflegebefehl:1
Auflegen,Dat,Sing,Neut,,NOUN,,Auflegen:1
Auflistung,Acc,Sing,Fem,,NOUN,,Auflistung:7
Auflistung,Dat,Sing,Fem,,NOUN,,Auflistung:3
Auflärungstätigkeiten,Acc,Plur,,,NOUN,,Auflärungstätigkeiten:1
Auflösung,Dat,Sing,Fem,,NOUN,,Auflösung:83
Auflösung,Acc,Sing,Fem,,NOUN,,Auflösung:53
Auflösung,Dat,Plur,,,NOUN,,Auflösungen:10
Auflösung,Acc,Plur,,,NOUN,,Auflösungen:4
Auflösung,Acc,,,,NOUN,,Auflösung:1
Auflösungsvereinbarung,Acc,Sing,Fem,,NOUN,,Auflösungsvereinbarung:1
Auflösungsvertrag,Dat,Plur,,,NOUN,,Auflösungsverträgen:1
Auflösungsvertrag,Acc,Sing,Masc,,NOUN,,Auflösungsvertrag:1
Aufmacherfoto,Dat,Plur,,,NOUN,,Aufmacherfotos:1
Aufmachung,Dat,Sing,Fem,,NOUN,,Aufmachung:3
Aufmerksamkeit,Acc,Sing,Fem,,NOUN,,Aufmerksamkeit:28
Aufmerksamkeit,Dat,Sing,Fem,,NOUN,,Aufmerksamkeit:18
Aufmerksamkeit,Acc,,,,NOUN,,Aufmerksamkeit:1
Aufmerksamkeitserfolg,Acc,Sing,Masc,,NOUN,,Aufmerksamkeitserfolg:1
Aufmerksamkeitsspanne,Dat,Sing,Fem,,NOUN,,Aufmerksamkeitsspanne:1
Aufmerksamkeitsspanne,Dat,Plur,,,NOUN,,Aufmerksamkeitsspannen:1
Aufmerksamkeitsökonomie,Dat,Sing,Fem,,NOUN,,Aufmerksamkeitsökonomie:3
Aufmunterung,Acc,Sing,Fem,,NOUN,,Aufmunterung:1
Aufnahme,Acc,Plur,,,NOUN,,Aufnahmen:9
Aufnahme,Dat,Plur,,,NOUN,,Aufnahmen:10
Aufnahme,Acc,Sing,Fem,,NOUN,,Aufnahme:39
Aufnahme,Dat,Sing,Fem,,NOUN,,Aufnahme:29
Aufnahmefähigkeit,Acc,Sing,Fem,,NOUN,,Aufnahmefähigkeit:1
Aufnahmefähigkeit,Dat,Sing,Fem,,NOUN,,Aufnahmefähigkeit:1
Aufnahmegebühr,Acc,Sing,Fem,,NOUN,,Aufnahmegebühr:1
Aufnahmegerät,Dat,Plur,,,NOUN,,Aufnahmegeräten:3
Aufnahmegerät,Acc,Plur,,,NOUN,,Aufnahmegeräte:1
Aufnahmekomfort,Acc,Sing,Masc,,NOUN,,Aufnahmekomfort:1
Aufnahmeobjekt,Acc,Sing,Neut,,NOUN,,Aufnahmeobjekt:1
Aufnahmeprüfung,Dat,Sing,Fem,,NOUN,,Aufnahmeprüfung:1
Aufnahmeprüfung,Acc,Sing,Fem,,NOUN,,Aufnahmeprüfung:1
Aufnahmesituation,Dat,Sing,Fem,,NOUN,,Aufnahmesituation:1
Aufnahmestudio,Dat,Sing,Neut,,NOUN,,Aufnahmestudio:1
Aufnahmestudio,Acc,Sing,Neut,,NOUN,,Aufnahmestudio:1
Aufnehmen,Dat,Sing,Neut,,NOUN,,Aufnehmen:3
Aufpasser,Acc,Plur,,,NOUN,,Aufpasser:1
Aufplatzen,Acc,Sing,Neut,,NOUN,,Aufplatzen:1
Aufprall,Dat,Sing,Masc,,NOUN,,Aufprall:2
Aufpreis,Acc,Sing,Masc,,NOUN,,Aufpreis:23
Aufpreis,Dat,Sing,Masc,,NOUN,,Aufpreis:5
Aufragsentwicklung,Dat,Sing,Fem,,NOUN,,Aufragsentwicklung:1
Aufrechnung,Acc,Sing,Fem,,NOUN,,Aufrechnung:1
Aufrechterhaltung,Dat,Sing,Fem,,NOUN,,Aufrechterhaltung:4
Aufrechterhaltung,Acc,Sing,Fem,,NOUN,,Aufrechterhaltung:7
Aufregung,Acc,Sing,Fem,,NOUN,,Aufregung:27
Aufregung,Dat,Sing,Fem,,NOUN,,Aufregung:9
Aufrichtigkeit,Acc,Sing,Fem,,NOUN,,Aufrichtigkeit:1
Aufrichtung,Dat,Sing,Fem,,NOUN,,Aufrichtung:2
Aufriß,Acc,Sing,Masc,,NOUN,,Aufriss:1
Aufruf,Dat,Sing,Masc,,NOUN,,Aufruf:23
Aufruf,Acc,Sing,Masc,,NOUN,,Aufruf:26
Aufruf,Acc,Plur,,,NOUN,,Aufrufe:2
Aufruf,Dat,Plur,,,NOUN,,Aufrufen:3
Aufrufen,Dat,Sing,Neut,,NOUN,,Aufrufen:4
Aufrufen,Acc,Sing,Neut,,NOUN,,Aufrufen:1
Aufruhr,Acc,Sing,Masc,,NOUN,,Aufruhr:3
Aufruhr,Dat,Sing,Masc,,NOUN,,Aufruhr:1
Aufräumen,Dat,Sing,Neut,,NOUN,,Aufräumen:2
Aufrüst-Option,Acc,Sing,Fem,,NOUN,,Aufrüst-Option:1
Aufrüstarbeit,Acc,Plur,,,NOUN,,Aufrüstarbeiten:1
Aufrüsten,Dat,Sing,Neut,,NOUN,,Aufrüsten:3
Aufrüstung,Dat,Sing,Fem,,NOUN,,Aufrüstung:7
Aufrüstung,Acc,Sing,Fem,,NOUN,,Aufrüstung:20
Aufrüstungsgeschäft,Dat,Sing,Neut,,NOUN,,Aufrüstungsgeschäft:1
Aufrüstungsvorhaben,Acc,Plur,,,NOUN,,Aufrüstungsvorhaben:1
Aufrüstwilliga,Dat,Plur,,,NOUN,,Aufrüstwilligen:1
Aufsatz,Acc,Plur,,,NOUN,,Aufsätze:2
Aufsatz,Acc,Sing,Masc,,NOUN,,Aufsatz:3
Aufsatz,Dat,Plur,,,NOUN,,Aufsätzen:2
Aufsatz,Dat,Sing,Masc,,NOUN,,Aufsatz:7
Aufsatzbild,Acc,Sing,Neut,,NOUN,,Aufsatzbild:1
Aufsatzmodul,Dat,Sing,Neut,,NOUN,,Aufsatzmodul:1
Aufsatzthema,Dat,Sing,Neut,,NOUN,,Aufsatzthema:1
Aufschaltung,Dat,Sing,Fem,,NOUN,,Aufschaltung:1
Aufschlag,Dat,Sing,Masc,,NOUN,,Aufschlag:3
Aufschlag,Dat,Plur,,,NOUN,,Aufschlägen:2
Aufschlag,Acc,Sing,Masc,,NOUN,,Aufschlag:8
Aufschluß,Acc,Plur,,,NOUN,,Aufschluss:1
Aufschluß,Acc,Sing,Masc,,NOUN,,Aufschluß:2 | Aufschluss:1
Aufschlüsselung,Acc,,,,NOUN,,Aufschlüsselung:1
Aufschnaiter,Dat,Sing,Masc,,PROPN,,Aufschnaiter:1
Aufschrei,Acc,Sing,Masc,,NOUN,,Aufschrei:3
Aufschrei,Dat,Sing,Masc,,NOUN,,Aufschrei:1
Aufschrift,Dat,Sing,Fem,,NOUN,,Aufschrift:8
Aufschrift,Acc,Sing,Fem,,NOUN,,Aufschrift:3
Aufschub,Acc,Sing,Masc,,NOUN,,Aufschub:12
Aufschwung,Acc,Sing,Masc,,NOUN,,Aufschwung:20
Aufschwung,Dat,Sing,Masc,,NOUN,,Aufschwung:6
Aufschwungphase,Dat,Sing,Fem,,NOUN,,Aufschwungphase:1
Aufsedimentation,Acc,Sing,Fem,,NOUN,,Aufsedimentation:1
Aufsehen,Acc,Sing,Neut,,NOUN,,Aufsehen:33
Aufsicht,Dat,Sing,Fem,,NOUN,,Aufsicht:17
Aufsicht,Acc,Sing,Fem,,NOUN,,Aufsicht:22
Aufsichtsamt,Acc,Plur,,,NOUN,,Aufsichtsämter:1
Aufsichtsamt,Dat,Plur,,,NOUN,,Aufsichtsämtern:1
Aufsichtsbeamte,Dat,Sing,Masc,,NOUN,,Aufsichtsbeamten:1
Aufsichtsbehörde,Acc,Plur,,,NOUN,,Aufsichtsbehörden:4
Aufsichtsbehörde,Dat,Plur,,,NOUN,,Aufsichtsbehörden:3
Aufsichtsbehörde,Acc,Sing,Fem,,NOUN,,Aufsichtsbehörde:2
Aufsichtsbehörde,Dat,Sing,Fem,,NOUN,,Aufsichtsbehörde:4
Aufsichtsfunktion,Dat,Sing,Fem,,NOUN,,Aufsichtsfunktion:1
Aufsichtsgremium,Acc,Sing,Neut,,NOUN,,Aufsichtsgremium:1
Aufsichtsgremium,Dat,Plur,,,NOUN,,Aufsichtsgremien:1
Aufsichtsgremium,Dat,Sing,Neut,,NOUN,,Aufsichtsgremium:2
Aufsichtsrat,Dat,Sing,Masc,,NOUN,,Aufsichtsrat:40
Aufsichtsrat,Acc,Sing,Masc,,NOUN,,Aufsichtsrat:11
Aufsichtsrat,Dat,Plur,,,NOUN,,Aufsichtsräten:4
Aufsichtsrat,Dat,Sing,,,NOUN,,Aufsichtsrat:3
Aufsichtsrat,Dat,,,,NOUN,,Aufsichtsrat:1
Aufsichtsrat,Acc,,,,NOUN,,Aufsichtsrat:1
Aufsichtsratmitglied,Acc,Sing,Neut,,NOUN,,Aufsichtsratmitglied:1
Aufsichtsratmitglied,Dat,Sing,Neut,,NOUN,,Aufsichtsratmitglied:1
Aufsichtsratsbeschluß,Dat,Sing,Masc,,NOUN,,Aufsichtsratsbeschluss:1
Aufsichtsratschef,Acc,Sing,Masc,,NOUN,,Aufsichtsratschef:1
Aufsichtsratsitzung,Acc,Sing,Fem,,NOUN,,Aufsichtsratsitzung:1
Aufsichtsratsitzung,Dat,Sing,Fem,,NOUN,,Aufsichtsratsitzung:2
Aufsichtsratsmitglied,Dat,Plur,,,NOUN,,Aufsichtsratsmitgliedern:3
Aufsichtsratssitzung,Dat,Sing,Fem,,NOUN,,Aufsichtsratssitzung:7
Aufsichtsratsvorsitz,Acc,Sing,Masc,,NOUN,,Aufsichtsratsvorsitz:2
Aufsichtsratsvorsitzend,Acc,Sing,Masc,,NOUN,,Aufsichtsratsvorsitzenden:1
Aufsichtsratsvorsitzend,Dat,Sing,Masc,,NOUN,,Aufsichtsratsvorsitzenden:2
Aufsichtsratsvorsitzend,Dat,Sing,,,NOUN,,Aufsichtsratsvorsitzenden:1
Aufsichtsratsvorsitzender,Acc,Sing,Masc,,NOUN,,Aufsichtsratsvorsitzenden:1
Aufsichtsübergabe,Acc,Sing,Fem,,NOUN,,Aufsichtsübergabe:1
Aufspaltung,Dat,Sing,Fem,,NOUN,,Aufspaltung:20
Aufspaltung,Acc,Sing,Fem,,NOUN,,Aufspaltung:24
Aufspaltung,Dat,Plur,,,NOUN,,Aufspaltungen:1
Aufspaltungsplan,Acc,Plur,,,NOUN,,Aufspaltungspläne:1
Aufspaltungsplan,Dat,Sing,Masc,,NOUN,,Aufspaltungsplan:1
Aufspielen,Acc,Sing,Neut,,NOUN,,Aufspielen:1
Aufspielen,Dat,Sing,Neut,,NOUN,,Aufspielen:1
Aufsplittung,Acc,Sing,Fem,,NOUN,,Aufsplittung:1
Aufsplittung,Dat,Sing,Fem,,NOUN,,Aufsplittung:1
Aufsplittung,Acc,Plur,,,NOUN,,Aufsplittung:1
Aufsprechen,Dat,Sing,Neut,,NOUN,,Aufsprechen:1
Aufspur,Dat,Sing,Neut,,NOUN,,Aufspüren:1
Aufspüren,Dat,Sing,Neut,,NOUN,,Aufspüren:7
Aufspüren,Acc,Sing,Neut,,NOUN,,Aufspüren:1
Aufstand,Dat,Sing,Masc,,NOUN,,Aufstand:4
Aufstand,Acc,Sing,Masc,,NOUN,,Aufstand:6
Aufstand,Dat,Plur,,,NOUN,,Aufständen:2
Aufstandsbewegung,Acc,Plur,,,NOUN,,Aufstandsbewegungen:1
Aufsteckmodul,Acc,Sing,Neut,,NOUN,,Aufsteckmodul:1
Aufstehen,Dat,Sing,Neut,,NOUN,,Aufstehen:1
Aufsteiger,Dat,Plur,,,NOUN,,Aufsteigern:1
Aufstellen,Acc,Sing,Neut,,NOUN,,Aufstellen:1
Aufstellung,Dat,Sing,Fem,,NOUN,,Aufstellung:8
Aufstellung,Acc,Sing,Fem,,NOUN,,Aufstellung:7
Aufstellungsräumen,Dat,Plur,,,NOUN,,Aufstellungsräumen:1
Aufstieg,Acc,Sing,Masc,,NOUN,,Aufstieg:10
Aufstieg,Dat,Sing,Masc,,NOUN,,Aufstieg:9
Aufstiegen,Dat,Plur,,,NOUN,,Aufstiegen:1
Aufstiegsfortbildung,Dat,Sing,Fem,,NOUN,,Aufstiegsfortbildung:1
Aufstiegsrunde,Dat,Sing,Fem,,NOUN,,Aufstiegsrunde:2
Aufstocken,Acc,Sing,Neut,,NOUN,,Aufstocken:2
Aufstockung,Acc,Sing,Fem,,NOUN,,Aufstockung:5
Aufstockung,Dat,Sing,Fem,,NOUN,,Aufstockung:5
Aufstrich,Acc,Sing,Masc,,NOUN,,Aufstrich:1
Auftakt,Dat,Sing,Masc,,NOUN,,Auftakt:41
Auftakt,Acc,Sing,Masc,,NOUN,,Auftakt:3
Auftaktrede,Dat,Sing,Fem,,NOUN,,Auftaktrede:2
Auftaktstatement,Dat,Sing,Neut,,NOUN,,Auftaktstatement:1
Auftaktveranstaltung,Dat,Sing,Fem,,NOUN,,Auftaktveranstaltung:3
Auftauchen,Acc,Sing,Neut,,NOUN,,Auftauchen:2
Auftauchen,Dat,Sing,Neut,,NOUN,,Auftauchen:4
Aufteilung,Acc,Sing,Fem,,NOUN,,Aufteilung:20
Aufteilung,Dat,Sing,Fem,,NOUN,,Aufteilung:16
Auftrag,Dat,Plur,,,NOUN,,Aufträgen:22
Auftrag,Dat,Sing,Masc,,NOUN,,Auftrag:187 | Auftrage:4
Auftrag,Acc,Plur,,,NOUN,,Aufträge:19
Auftrag,Acc,Sing,Masc,,NOUN,,Auftrag:104
Auftraggeber,Acc,Plur,,,NOUN,,Auftraggeber:14
Auftraggeber,Dat,Plur,,,NOUN,,Auftraggebern:10
Auftraggeber,Acc,Sing,Masc,,NOUN,,Auftraggeber:6
Auftraggeber,Dat,Sing,Masc,,NOUN,,Auftraggeber:4
Auftragnehmer,Acc,Sing,Masc,,NOUN,,Auftragnehmer:1
Auftrags-Hoch,Acc,Sing,Neut,,NOUN,,Auftrags-Hoch:1
Auftragsabwicklung,Acc,Sing,Fem,,NOUN,,Auftragsabwicklung:1
Auftragsarbeit,Dat,Sing,Fem,,NOUN,,Auftragsarbeit:1
Auftragsbearbeitung,Dat,Sing,Fem,,NOUN,,Auftragsbearbeitung:3
Auftragsbearbeitung,Acc,Sing,Fem,,NOUN,,Auftragsbearbeitung:1
Auftragsbestand,Acc,Sing,Masc,,NOUN,,Auftragsbestand:1
Auftragsbestätigung,Acc,Sing,Fem,,NOUN,,Auftragsbestätigung:1
Auftragsbuch,Dat,Sing,Neut,,NOUN,,Auftragsbuch:1
Auftragsbuch,Acc,Plur,,,NOUN,,Auftragsbücher:3
Auftragseingang,Dat,Sing,Masc,,NOUN,,Auftragseingang:6
Auftragseingang,Dat,Plur,,,NOUN,,Auftragseingängen:7
Auftragseingang,Acc,Plur,,,NOUN,,Auftragseingänge:3
Auftragseingang,Acc,Sing,Masc,,NOUN,,Auftragseingang:2
Auftragserteilung,Dat,Sing,Fem,,NOUN,,Auftragserteilung:3
Auftragsfertiger,Dat,Sing,Masc,,NOUN,,Auftragsfertiger:1
Auftragsfertigung,Acc,Sing,Fem,,NOUN,,Auftragsfertigung:2
Auftragsforschung,Dat,Sing,Fem,,NOUN,,Auftragsforschung:1
Auftragsgarantie,Acc,Sing,Fem,,NOUN,,Auftragsgarantie:1
Auftragslage,Dat,Sing,Fem,,NOUN,,Auftragslage:3
Auftragslage,Acc,Sing,Fem,,NOUN,,Auftragslage:7
Auftragsmörder,Acc,Sing,Masc,,NOUN,,Auftragsmörder:1
Auftragsplus,Dat,Plur,,,NOUN,,Auftragsplus:1
Auftragspolster,Acc,Sing,Neut,,NOUN,,Auftragspolster:1
Auftragsreduktion,Acc,Sing,Fem,,NOUN,,Auftragsreduktion:1
Auftragsrückgang,Dat,Sing,Masc,,NOUN,,Auftragsrückgang:1
Auftragsrücknahme,Dat,Plur,,,NOUN,,Auftragsrücknahmen:1
Auftragsrückstau,Acc,Sing,Masc,,NOUN,,Auftragsrückstau:1
Auftragsschmiede,Dat,Plur,,,NOUN,,Auftragsschmieden:1
Auftragsschub,Acc,Sing,Masc,,NOUN,,Auftragsschub:1
Auftragsstornierung,Acc,Plur,,,NOUN,,Auftragsstornierungen:1
Auftragstasche,Dat,Sing,Fem,,NOUN,,Auftragstasche:1
Auftragsvergabe,Acc,Sing,Fem,,NOUN,,Auftragsvergabe:2
Auftragsvergabe,Dat,Sing,Fem,,NOUN,,Auftragsvergabe:3
Auftragsvolumen,Dat,Sing,Neut,,NOUN,,Auftragsvolumen:4
Auftragsvolumen,Acc,Sing,Neut,,NOUN,,Auftragsvolumen:3
Auftragswelle,Dat,Sing,Fem,,NOUN,,Auftragswelle:1
Auftragszahl,Dat,Plur,,,NOUN,,Auftragszahlen:1
Auftragsüberhang,Acc,Sing,Masc,,NOUN,,Auftragsüberhang:1
Auftrennung,Acc,Sing,Fem,,NOUN,,Auftrennung:1
Auftreten,Dat,Sing,Neut,,NOUN,,Auftreten:7
Auftreten,Acc,Sing,Neut,,NOUN,,Auftreten:8
Auftrieb,Dat,Sing,Masc,,NOUN,,Auftrieb:1
Auftrieb,Acc,Sing,Masc,,NOUN,,Auftrieb:4
Auftritt,Dat,Sing,Masc,,NOUN,,Auftritt:28
Auftritt,Acc,Plur,,,NOUN,,Auftritte:8
Auftritt,Acc,Sing,Masc,,NOUN,,Auftritt:29
Auftritt,Dat,Plur,,,NOUN,,Auftritten:7
Aufttraggeber,Dat,Sing,Masc,,NOUN,,Aufttraggeber:1
Aufwachen,Dat,Sing,Neut,,NOUN,,Aufwachen:4
Aufwand,Dat,Sing,Masc,,NOUN,,Aufwand:34
Aufwand,Acc,Sing,Masc,,NOUN,,Aufwand:37
Aufwandsentschädigung,Dat,Plur,,,NOUN,,Aufwandsentschädigungen:1
Aufwandsentschädigung,Acc,Sing,Fem,,NOUN,,Aufwandsentschädigung:1
Aufwecken,Acc,Sing,Neut,,NOUN,,Aufwecken:1
Aufweichen,Dat,Sing,Neut,,NOUN,,Aufweichen:1
Aufwendung,Dat,Plur,,,NOUN,,Aufwendungen:6
Aufwendung,Acc,Plur,,,NOUN,,Aufwendungen:2
Aufwertung,Acc,Sing,Fem,,NOUN,,Aufwertung:1
Aufwicklung,Dat,Sing,Fem,,NOUN,,Aufwicklung:1
Aufwiegelei,Dat,Sing,Fem,,NOUN,,Aufwiegelei:1
Aufwiegeln,Acc,Sing,Neut,,NOUN,,Aufwiegeln:1
Aufwind,Dat,Sing,Masc,,NOUN,,Aufwind:17
Aufwind,Acc,Sing,Masc,,NOUN,,Aufwind:3
Aufwärts-Trend,Dat,Sing,Masc,,NOUN,,Aufwärts-Trend:1
Aufwärtsentwicklung,Acc,Sing,Fem,,NOUN,,Aufwärtsentwicklung:1
Aufwärtsmoment,Acc,Sing,Neut,,NOUN,,Aufwärtsmoment:1
Aufwärtstrend,Dat,Sing,Masc,,NOUN,,Aufwärtstrend:4
Aufwärtstrend,Acc,Sing,Masc,,NOUN,,Aufwärtstrend:2
Aufzeichnen,Acc,Sing,Neut,,NOUN,,Aufzeichnen:2
Aufzeichnen,Dat,Sing,Neut,,NOUN,,Aufzeichnen:2
